ぶな配列2.0

適応度:	1.2860289677999761E7
総チャンク数:	48831341

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12256046
2打鍵チャンク:	8168380
3打鍵チャンク:	1444472
4打鍵チャンク:	60632

チャンク頻度
d	3004790
k	2993625
l	2350042
j	1760047
s	1727290
m	1692174
g	1613228
r	1551829
o	1468847
b	1424480
i	1270583
f	1074042
p	939944
c	924530
x	905991
w	891453
e	884986
q	874740
h	863279
a	848201
u	799210
t	748785
y	710410
;	638369
v	550871
z	535329
n	522694
ds	482528
[	446608
df	444817
,	438700
kl	429921
kj	405147
'	360982
jk	327508
km	326554
.	324473
lk	311059
mk	284200
ko	256213
da	224312
ok	210312
kn	198509
mi	176872
av	173164
cv	169327
k;	162918
ji	154791
li	143701
kp	134765
hk	129923
gd	123813
ln	109517
;k	105950
ij	105830
dg	97490
mo	84071
lkm	84011
l;	83737
nk	81340
wf	78793
jo	78678
j;	72397
dv	66416
ag	66133
h;	66076
sd	66063
hi	64123
lu	63699
pk	63189
fs	62977
;j	62542
kh	62127
we	60052
wd	59999
zd	58873
no	58423
jp	55603
fd	54359
'k	54063
ml	53432
oi	53329
ef	50637
;m	47138
mp	47082
n;	46018
;i	45739
u;	45674
vd	45584
oj	45313
as	45295
lj	43861
m;	43244
gs	42368
jkl	39818
ca	39703
ho	39703
fx	38117
'l	38038
pj	37912
gx	37384
ae	37060
[n	36758
sf	36591
jl	35970
at	35612
kjl	33678
sg	33628
lm	33319
dz	32424
ad	32422
;lm	31585
il	31172
vx	29685
fw	29254
wt	29084
re	29070
k;m	28262
lh	27694
qd	27610
gz	27533
dq	27262
gq	27078
om	26774
rq	26351
fq	25623
h'	25486
[k	25453
ui	25177
es	24961
k.	24941
wg	24796
o;	24753
okj	24734
wdf	23846
io	23124
yi	22767
kjo	22405
nl	22051
'i	21933
h[	21619
koj	21361
xg	21241
zs	20592
kon	20512
jok	20422
xf	20202
rs	19824
ih	19598
pi	19583
yo	19495
',	19295
ip	19211
up	18668
n.	18367
mko	18348
l;k	18293
st	18252
eq	18094
lkj	17762
lk;	17673
mok	17456
qf	17198
;u	17136
fds	17106
klh	17030
okm	16819
ni	16767
aef	16686
;o	16631
cvx	16209
;l	16164
kl;	16113
af	16080
avs	16074
ge	16023
/	15829
sr	15783
/j	15470
jko	15367
'j	14803
;kj	14787
kmo	14443
wv	14400
hk;	14393
hl	14306
kjp	14296
klj	14206
omk	14089
j.	13882
[j	13835
mkl	13833
ou	13731
okn	13575
pu	13571
;h	13263
eg	13081
i[	12934
'u	12925
lnk	12706
gw	12454
iu	12368
klm	12209
gds	12153
qr	12144
'h	11953
i'	11938
jkp	11879
h;k	11761
xv	11563
oy	11383
ul	11170
kml	11111
k/	11084
k;h	11002
ts	10991
zg	10837
fe	10443
;mk	10282
l;m	10239
l'	9962
cs	9851
m.	9849
oh	9664
lkn	9565
;jo	9302
cz	9271
oij	9226
hkl	9122
daf	9117
ar	9065
qg	8951
k;j	8813
vs	8790
mk;	8676
pkm	8655
kno	8562
rw	8536
m'	8391
p'	8284
fa	8155
xc	8051
;lu	8048
mkp	8029
km'	7983
ln;	7935
mlk	7747
tz	7685
n;kl	7683
iy	7631
qe	7531
kj;	7517
cvs	7470
p[	7262
k'	7261
n;l	7240
m,	7219
pkj	7195
j'	7130
in	7115
;jk	7111
lkh	7022
gda	7006
