コンポジション#1

適応度:	1.4460649243999595E7
総チャンク数:	48571112

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12156458
2打鍵チャンク:	8039434
3打鍵チャンク:	926009
4打鍵チャンク:	18074

チャンク頻度
j	3895462
e	2178109
;	2047729
r	2025238
f	1789585
w	1509746
d	1345625
l	1286899
i	1173146
p	1129758
s	1110645
q	1106290
4	979727
9	954818
5	909263
u	845645
8	820571
t	774624
o	766720
a	745394
h	740527
g	718535
k	717048
b	641940
3	524204
,	523330
0	492777
hl	483175
.	477912
1	475661
re	455653
v	416703
2	416193
m	409989
y	383906
x	372469
7	360919
ge	359926
j;	332058
/	298272
n	263509
ae	258849
c	247750
fe	227983
z	221430
nl	208882
fq	201461
fw	188150
we	185574
df	183000
8;	182747
j.	162821
jl	156182
ts	148615
dw	148363
er	147572
3q	139907
se	134105
;u	130291
pu	119867
,m	108374
ef	104798
jp	103703
ds	102863
;o	100262
;i	99711
vd	93560
dq	93356
gwe	86721
jo	85844
ew	83864
da	80723
98	77396
fd	74824
ji	71713
li	68096
;l	66022
w5	61868
eg	60669
j9	60523
jk	59572
oi	59527
;k	58832
zs	58795
sf	58521
1r	53980
dv	52591
eq	52495
mi	52481
sr	51327
qf	49206
eqf	48129
;8	47733
4w	46852
dg	45310
af	44842
w4	43661
qr	43265
st	41909
2r	41338
3a	40406
ea	39432
4q	39403
il	38137
j0	37690
rq	37660
l;	37604
m;	37419
cs	37159
j/	37039
5w	36144
3f	35393
afe	35158
0u	34419
lk	34019
wf	32975
5q	31639
,;	31401
u;	30868
89	30587
es	30092
sa	29723
3r	29308
9h	29104
ih	28926
wd	28692
ad	28194
r3	27826
ml	27751
rew	26599
34	26387
r3q	26144
hli	25554
3t	25395
9n	25338
8o	25190
i;	25142
oh	24460
iu	23948
25	23909
f2	23311
wfe	22371
ar	22206
5a	22191
q4	22159
et	22134
2re	21787
up	21464
2f	21182
fa	21039
qd	20585
08	20480
m.	19981
wr	19216
dz	19208
vdw	19014
24	18978
;h	18685
mp	18650
tsa	18536
o;	18486
gs	18225
35	18025
pi	17826
at	17374
wa	17176
rw	17112
r2	17085
qt	17009
78	16825
rs	16771
hlk	16628
as	16513
km	15872
ez	15838
k;	15785
y8	15729
l/	15260
lu	15017
im	14737
gw	13714
yi	13684
ag	13667
k.	13618
;oi	13583
zd	13477
res	13229
q3	13153
97	13012
;,	12787
kl	12535
vw	12422
41	12377
ou	12243
sg	12088
sfe	12050
ip	12035
age	11984
h9	11802
dfw	11745
;m	11571
j;i	11568
31	11185
.k	11108
lh	11087
f3	11030
ui	11008
a3	10968
zr	10841
m,	10674
lm	10490
wt	10451
gse	10073
req	9906
cx	9826
9u	9641
hi	9622
a5	9513
gq	9505
pk	9469
/i	9459
tw	9449
ca	9426
omi	9355
re2	9246
nli	9198
o8	8691
8;h	8579
u9	8464
hl;	8346
e2	8269
ok	8227
0i	8057
y9	8042
t3	7996
ra	7987
3qr	7845
aef	7778
15	7660
ab	7557
sd	7549
are	7517
qg	7475
87	7329
nl;	7280
tq	7262
aer	7201
qre	6840
pm	6771
;li	6761
jli	6753
79	6681
j;o	6653
xf	6653
53	6632
52	6603
8u	6590
rwe	6554
fwa	6489
dfq	6468
mk	6464
u0	6392
ul	6367
fda	6348
ta	6314
42	6240
uo	6232
daf	6138
fs	6100
i/	6087
zsr	6017
/k	6010
av	5983
aw	5979
dsf	5951
sz	5836
51	5783
cz	5746
2r3	5638
80	5598
2t	5455
j;k	5454
kh	5327
om	5313
efw	5301
;mi	5203
il/	5169
3qt	4884
3q4	4875
jlk	4797
rea	4602
hk	4490
gd	4438
wge	4359
k/	4320
i0	4291
u8	4229
sge	4203
cv	4140
in	4130
fdw	4093
q5	4083
r1	3972
iy	3966
43	3955
wdf	3910
14	3824
nlk	3796
wg	3770
sre	3737
ga	3677
jl;	3669
qfe	3651
0m	3589
;oh	3485
zf	3446
aeg	3387
879	3364
;ui	3341
eaf	3340
;ml	3314
8y	3300
efq	3270
fdq	3244
rse	3173
243	3109
qdf	3045
9y	2952
.,	2940
fae	2920
io	2880
vds	2874
joi	2806
./	2772
vda	2739
3qf	2735
sae	2553
ges	2492
wv	2410
etz	2405
zb	2383
wae	2373
kp	2370
tz	2308
ase	2297
ba	2296
kn	2281
sv	2264
;lh	2261
a35	2190
,m/	2184
fds	2123
qge	2119
ml;	2109
adf	2103
70	2091
;n	2071
n9	2058
waef	2057
geq	2029
xg	2019
ni	2012
gea	1966
zt	1959
ewf	1933
wre	1876
m/	1866
lmi	1833
2fe	1788
yo	1778
af3	1750
gae	1741
afd	1733
bz	1695
dsa	1690
jl/	1647
;km	1637
gz	1627
jok	1598
8h	1592
gez	1571
wafe	1567
0h	1548
dgs	1540
li;	1529
xb	1527
lkm	1503
aet	1488
mo	1481
ets	1481
egs	1473
ac	1465
32	1465
;ih	1445
8;u	1444
;ok	1436
gx	1402
jpi	1394
;lm	1394
sc	1366
oy	1361
lj	1341
oim	1328
l/i	1319
wda	1317
23	1308
eqr	1308
mli	1302
u;i	1296
lim	1288
lih	1275
fx	1274
safe	1264
saf	1254
zw	1240
a3r	1217
dag	1212
/m	1202
no;	1199
o;i	1195
ji;	1184
uli	1183
sar	1177
tse	1162
va	1157
kml	1151
sta	1148
rez	1136
xv	1132
qr3	1126
fwae	1122
h8	1116
43q	1102
sfd	1093
m;o	1088
;lmi	1077
;lk	1076
sad	1069
vc	1053
l;k	1051
;im	1040
fz	1026
;iu	1020
eta	1017
t2	1010
j0i	997
nk	991
13	989
n.	983
waf	982
ho	976
rz	976
/.	974
zsf	957
j;l	943
fwd	942
t3q	938
avd	935
csa	932
ln	922
no	915
fwe	912
89h	910
ho;	904
e2r	887
kmp	879
adg	876
bx	875
dsg	864
liu	862
a3f	861
lu;	839
f3a	836
;o8	830
a3t	822
;om	816
m;k	809
esf	797
efa	793
lk;	785
n/	776
3f2	775
rae	770
lj;	763
;omi	763
ar3	759
jil	758
3q5	749
ser	744
afw	728
zst	717
ewr	709
ats	703
j.k	702
31r	696
,.	693
oui	691
,/	689
fqd	689
rq3	688
erq	687
sage	684
;lu	679
8oh	679
eag	661
h;	659
ou;	655
53q	654
egz	648
u8;	645
wfd	641
xc	635
jip	630
gew	618
jkl	615
nl/	613
zdf	606
agse	596
ega	589
dfwa	587
y0	586
dwf	584
adv	581
jpk	580
f3q	576
egw	572
on	562
j;oi	561
agw	561
dfa	559
;ou	559
3r2	555
m0	547
jk;	543
u98	519
sea	513
zv	510
u;8	508
798	503
fdz	498
u;o	486
i;u	486
fse	486
jk.	485
egq	484
sat	483
ear	482
0y	475
j/k	473
oih	471
svd	470
mpi	459
sfa	448
fq3	446
l;i	444
erw	436
tae	434
.n	433
zc	431
lkh	431
lm;	421
zge	416
pmi	415
w5a	413
pkm	408
etq	407
ewg	405
esg	399
awd	393
q3f	390
awe	389
vs	385
23t	382
uil	376
dav	375
qfd	374
gsa	373
e2f	368
sra	367
zre	367
eqg	367
ilu	364
esr	360
8ou	359
m;l	359
uoi	357
lk/	354
l;u	352
eat	351
iu;	351
ewa	349
h98	348
a53	347
upi	342
n0	341
;lim	340
iml	335
fad	331
li/	330
zfe	323
zsge	321
fas	318
efz	317
y98	316
0n	315
lj/	315
wvd	315
;kh	313
,n	306
hli;	304
wat	304
iu0	296
esa	295
ef2	293
wad	289
im;	289
3ra	285
n;	285
eqt	281
sag	277
432	276
ezr	268
80u	261
rewa	260
zg	258
531	256
jo;	255
war	254
il;	253
07	251
l/k	249
ers	248
;u8	243
jil/	242
;lj	233
ewt	233
98y	231
978	228
szr	226
est	226
ui;	219
sare	219
;in	218
sav	217
mlk	217
hi;	217
dsv	216
lin	216
dga	212
3fq	212
rzs	208
;8u	207
hlk;	207
vwa	206
rsa	205
dqf	205
wfa	204
piu	204
vx	202
0iu	200
nl;k	200
zx	197
o;k	197
134	191
89y	190
jli;	188
esz	188
32r	187
nl;i	186
yoi	185
wdv	182
aw5	180
no;i	180
zsfe	178
j/i	175
ji/	174
rsea	172
wage	172
sda	172
/im	170
.,m	169
mpk	168
efs	168
o;8	167
dsaf	166
ipm	166
pim	164
8u;	162
hil	162
er2	160
dfs	157
r3a	156
ipu	154
seg	149
imp	146
nil	145
dsz	144
m;i	144
mi;	143
at3	141
j./	139
set	139
u08	139
wdaf	138
zfw	137
oim;	137
4q3	137
0im	135
;kn	135
gsd	134
xz	130
89u	128
ji0	127
1r3	126
o8;	125
sef	124
o;m	123
etsa	123
hkl	122
;on	121
zdv	120
zsre	118
nli;	117
