コンポジション#3.1

適応度:	1.2399568164999653E7
総チャンク数:	49841674

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12275899
2打鍵チャンク:	7892579
3打鍵チャンク:	1122423
4打鍵チャンク:	63790

チャンク頻度
e	3663295
i	2969513
o	2085148
w	2006185
;	1891665
f	1859964
a	1668481
j	1297678
z	1241015
8	1237617
l	1232695
h	1200437
s	1176061
u	1100671
r	908704
3	878677
2	875861
d	790300
m	781581
n	706852
k	704097
y	674993
g	633062
v	591700
.	572772
9	544195
x	507458
we	491142
t	481690
nl	407189
q	405010
,	393295
io	384479
5	382969
0	315156
4	302897
i;	300897
p	283628
re	282558
te	230379
c	230174
/	212215
ew	192762
;8	183023
fa	170093
k;	168128
ih	167004
/l	165803
b	163045
ef	147487
ds	146341
il	143947
ij	138952
fz	130075
se	126356
7	118358
;u	116891
in	114376
ez	110391
inl	109868
e2	106623
es	102569
;j	100824
i/	100104
ea	99606
oj	98405
lm	96175
0u	94432
im	93700
zf	89802
i0	89720
gw	89080
1	88212
gse	86731
;h	81386
er	79586
kh	78065
iu	77196
om	75362
lj	73559
;m	72436
eq	71482
2f	70714
a3	70600
eg	69883
;l	69137
ok	65514
iy	65070
o8	64188
mo	63089
et	62780
r1	61168
mk	59861
tes	57787
;o	55550
i0u	55290
lk	54494
zw	53117
;k	49727
y8	45723
ko	45228
41	42923
fw	41233
zse	40922
jl	40524
sd	39138
fzse	39021
8h	38061
l;	37897
0h	37160
sr	35999
cs	35918
sf	35653
wea	34668
ip	33824
3a	33327
af	33233
9y	33142
8;	33057
wf	30709
jk	29945
2r	29298
.k	29181
zs	28394
m;	28342
lu	28297
2t	28268
zx	27961
f3	26559
m.	26334
pu	25747
kj	25289
j0	25227
ioj	25100
j.	24792
fq	24128
km	24119
9u	24106
m0	23829
rw	23504
9h	23055
zr	23025
zd	22555
j;	22494
uo	22486
sfa	21667
8o	21471
yo	20881
q3	20726
3r	20580
8u	20449
tq	20398
rz	19972
3f	19887
jo	19633
42	19530
qf	19302
sa	18995
ar	18810
aw	18710
;n	18648
ou	18555
efa	18418
k;j	18200
gd	18188
vw	17842
gs	17825
xf	17816
cz	17647
wa	17389
o;	16958
j9	16835
rs	16771
pm	16657
;,	16164
52	16008
t3	15944
zc	15677
fzw	15389
u8	15382
i0h	14814
rq	14310
res	14291
iom	14097
i;m	13990
fd	13973
f2	13869
ga	13803
u;	13412
ln	12967
teq	12817
sg	12408
pj	12236
df	12105
dsa	11916
i;j	11815
e2f	11709
oy	11682
m/l	11440
pk	11210
/lm	11206
ad	10649
on	10406
tew	10390
0y	10221
.n	10101
r3	10053
sz	9892
dw	9803
lmk	9606
zre	9603
da	9534
gz	9396
no	9395
ta	9368
k.	9332
efz	9113
8y	9092
gwe	9016
wg	8941
0j	8874
qr	8755
oh	8441
lh	8358
wr	8353
ef2	8257
k;n	8233
tw	8169
4w	8140
dz	8067
,m	8014
.,	7934
zte	7898
nlk	7896
ca	7828
rwe	7642
i;u	7624
23	7442
;lj	7398
zfw	7276
wv	7268
ra	7254
,;	7127
rew	7120
w4	6975
/lj	6935
m/	6792
wt	6736
vc	6686
zwe	6616
3q	6564
nl;	6428
ilj	6416
24	6356
zb	6046
i;h	6029
r2	6006
ilm	5971
ste	5926
okj	5850
u9	5783
fs	5768
sv	5716
89	5645
jp	5602
3t	5567
fx	5517
32	5445
89u	5277
sfz	5244
fwe	5235
4q	5157
as	5028
25	4998
io;	4950
lm/	4936
zg	4850
xz	4820
ml	4761
iou	4726
fa3	4636
08u	4569
qg	4553
wd	4489
are	4445
;mk	4439
qd	4426
kl	4417
w5	4274
vz	4243
a5	4194
wer	4161
omk	4129
9j	4107
j/	3997
78	3976
kmo	3860
2re	3842
tz	3840
wef	3824
0m	3754
xv	3663
iyo	3657
/lk	3570
il;	3541
fzd	3520
y9	3511
dv	3464
ipu	3421
okm	3395
jk;	3379
dsz	3303
wfa	3301
faw	3243
.m	3230
fzs	3193
cv	3188
ag	3111
zv	3101
;uo	3081
ok;	3039
qte	3018
dsf	3008
lkj	2971
08	2970
u0	2926
9y8	2912
st	2891
efw	2889
qt	2888
lm;	2850
oj;	2843
tesz	2749
/ln	2737
va	2730
;mo	2724
tez	2714
sre	2681
;kh	2673
gds	2644
ac	2625
zt	2613
av	2581
l;h	2579
i0m	2554
zsd	2549
egs	2493
5w	2475
lkh	2454
at	2454
43	2448
ztes	2399
;jl	2382
e2r	2379
34	2314
;ln	2307
m,	2287
98	2258
ojk	2228
iln	2204
vs	2204
fad	2182
i;n	2174
om;	2170
ilu	2160
35	2135
;kj	2120
erw	2108
im;	2083
kp	2076
q4	2064
;jk	2035
.j	2017
fzx	2013
inl;	2001
;oj	1993
ioy	1967
80	1949
eqf	1936
eta	1920
awe	1885
nk	1871
xb	1830
vd	1818
/m	1807
imo	1756
8;u	1736
/j	1725
rea	1722
k;m	1696
ate	1689
esf	1653
lk;	1644
li	1640
ear	1620
3fa	1594
qre	1580
zsf	1573
im0	1567
lj;	1554
up	1507
ul	1503
cx	1494
dg	1479
dfa	1464
ino	1442
xc	1411
5q3	1392
;om	1380
zfs	1354
ewf	1326
89h	1291
xg	1288
f3a	1281
kom	1274
sc	1264
mp	1264
eqr	1213
ega	1208
dq	1205
a3f	1184
;o8	1181
n/	1173
kn	1150
ij;	1149
eaf	1143
ion	1140
erz	1135
ilh	1125
fzwe	1124
tesa	1118
jlk	1109
esr	1106
ljk	1101
fas	1100
a3t	1089
q5	1088
j;o	1075
wte	1068
;jo	1066
tea	1046
egw	1046
ij0	1030
koj	1016
mo;	1009
egz	1001
re2	986
o8u	977
dfz	974
iuo	959
k;h	958
im/	956
l/	952
ijl	951
sdz	950
fse	939
nl/	918
3tq	911
t2	905
sra	887
5q	885
zrs	853
;u8	851
k.j	850
ase	849
53	838
wta	835
;lk	826
zgwe	809
etz	807
rzwe	795
/n	792
ezf	786
ezr	785
ba	781
li;	774
etq	763
ewa	752
zwef	739
l;m	739
o;k	736
ezg	730
13	726
ab	723
zwr	698
5a	693
weg	687
zwf	684
ioj;	675
mko	673
wre	670
ijo	662
weaf	656
wefa	644
zwv	641
pmk	618
pjk	613
t3a	598
twe	597
ags	587
csa	586
srz	583
efq	575
ou;	569
wfd	567
ates	564
rzw	561
rq3	559
a3r	559
ewt	555
;ul	549
,m.	543
u8;	541
q3r	539
rsa	534
97	528
352	524
eqt	523
o;8	518
sda	514
9n	506
est	505
o;h	501
jko	500
esfa	496
n.	495
fawe	494
etw	494
2t3	494
l;j	489
i/n	487
wet	482
ars	479
vcs	472
y0	469
n;	468
,.	464
eqg	463
o;m	458
u;o	456
rse	453
ezt	451
mk;	451
l;u	450
esa	446
dgs	439
iou;	438
15	438
ioh	437
vdw	436
0u8	427
zgw	427
fzsd	415
eag	415
ts	412
o8;	401
fwa	399
zrw	398
zsr	398
esz	396
bz	392
j.k	390
j;l	385
dfw	384
;lu	383
,n	380
07	380
ers	379
sfd	378
2r3	378
;ok	369
/k	368
tzse	354
wear	354
;lm	351
3af	347
m;l	342
ewr	336
lkm	335
/lmk	335
nlk;	333
o;u	327
gx	325
8o;	324
i/m	324
ipj	320
k.m	317
in/	310
u;8	309
agd	306
;ml	306
87	303
m.k	302
afw	299
i0j	296
ilm/	296
;km	292
lkn	290
efs	288
esg	285
erq	284
sgd	281
./	273
wad	271
szg	271
gsa	271
l;k	268
xfz	265
dsg	264
iom;	264
i/j	262
etzs	260
m;o	260
iu;	255
arw	254
ewg	254
fq3	250
zfd	249
dwa	248
o;j	243
avw	240
esfz	240
2f3	238
vx	233
;li	233
/,	229
;on	228
zrwe	221
ljk;	220
lj/	216
mok	209
sfad	203
nok	203
zwg	201
ojk;	197
fqd	197
ezgw	194
okn	194
8u;	193
km;	192
er2	191
;lkh	189
dsv	189
csz	184
ewfa	184
gwea	183
dsfa	182
a35	180
ok;j	180
;omk	179
n9	176
uli	175
ra3	175
zsg	175
kj.	175
ijp	174
pkj	174
ilj;	173
.mk	168
jl;	167
ok;m	167
ipm	166
89y	164
3rq	164
k/	162
sdf	161
n,	157
,.n	153
ztew	152
era	149
/jl	145
lk;n	144
ztw	143
dfq	142
8ou	141
r3q	141
gsd	139
q3f	137
8;h	136
km.	135
eat	134
kjl	134
gsz	132
fase	131
23r	130
tzs	129
afd	129
gq	127
sfzd	126
u8o	125
j;k	124
io;m	123
in;	123
;ou	123
32f	122
taw	121
klj	119
08h	118
zwt	117
32t	116
ta3	116
zgs	115
413	115
3ar	114
lk;j	114
okm;	113
70	112
ar3	112
tzw	111
ko;	109
mkl	109
rwa	106
mk.	105
;8h	105
523	104
il;h	103
asd	102
t32	102
n0	101
gdsa	101
m;k	99
lk;m	98
kln	98
il/	98
svc	98
9u8	95
;lh	94
32r	94
atew	93
atw	93
423	91
tq3	91
jpk	90
/ljk	90
/lkj	89
arwe	88
zgd	88
8uo	88
imp	87
zgds	87
zcv	86
ij/	86
weat	86
lu;	85
ok;n	85
sac	85
iml	83
q35	81
fwd	81
zvc	80
zxf	80
at3	79
lmk;	77
43q	77
mlk	77
1r	75
iu0	75
csv	75
o8h	73
vwa	72
zvw	72
yo8	72
uli;	71
3fq	71
/mk	69
u89	69
23f	68
zwd	67
zxv	67
35a	67
tse	66
m/lk	66
dsfz	65
r13	63
km/	63
;oh	63
svz	63
zsv	62
rewa	62
;ljk	61
;lkj	60
79	60
asf	60
qf3	60
qr3	60
adf	59
bx	58
lk/	58
98u	56
aste	55
zxg	55
n;o	55
r3a	55
scz	55
sgz	54
vcx	53
3ra	53
sga	53
okj;	52
m.,	51
ewta	51
wdf	51
awg	50
zdf	49
/kj	49
q34	48
14	48
awt	47
gdz	46
f23	46
wdv	45
3r2	44
srea	43
weag	43
aw5	42
23t	42
ilm;	42
fds	42
0y8	42
szf	42
;kn	41
dgz	41
af3	41
egsa	41
zwer	40
;okj	39
stez	39
q3t	39
98h	38
zfwe	37
u;l	36
325	36
il;j	36
u08	36
;ojk	35
awd	35
kpj	35
kml	35
f3q	35
ul;	35
nk;	34
8u9	34
xzg	33
/jk	33
/j.	32
in;o	32
;jlk	32
zfse	32
dfs	31
no;	31
eags	31
0n	30
kjo	30
l;mk	30
nko	29
in0	29
o8;u	29
il;m	29
dwf	27
raw	26
qt3	26
vcsa	25
klm	25
fsd	25
li/	24
k./	24
vad	24
koj;	24
rzs	24
xzc	24
324	24
gdsz	23
vwd	23
80h	23
omk;	22
ino;	22
gzd	22
3qf	22
jlk;	22
zfx	22
5a3	22
xgz	22
lk;h	21
zxc	21
wega	21
wfad	21
zgse	21
l;n	21
sag	21
qfd	20
.jk	20
fdq	20
zwte	20
3qr	20
kj;	20
dav	20
3r1	20
3a5	19
8oy	19
etzw	19
arse	19
inl/	19
dqf	18
jli	18
3ta	17
ou;8	17
gaw	17
fdz	17
tzwe	17
l;kj	17
avs	17
adv	17
vds	17
awv	17
gda	17
tas	16
ml;	16
zfwd	16
lij	15
t3q	15
ilu;	14
il;u	14
mpk	14
ou8	14
/.k	14
lkm/	13
dgsa	13
fawd	13
egaw	13
szte	12
3q4	12
rez	12
atwe	12
o;mk	12
wga	12
jko;	12
nl;k	12
/m.	11
mo;k	11
zvs	11
afs	11
zxb	11
8yo	11
sdv	10
fzwd	10
io;h	10
asr	10
8u0	10
ersa	10
ets	10
ezgs	9
dgsz	9
oj;k	9
l;jk	9
gzx	9
kl;	9
m./	9
zwet	9
asre	9
eztw	9
243	9
y89	9
qdf	9
agw	9
stea	9
zste	9
wtea	8
adg	8
fdsa	8
,m/	8
imo;	8
jok	8
3at	8
io;j	8
zwvd	8
80u	8
lm;k	8
m;lk	8
xzb	8
gzw	8
awf	8
vzw	8
zsre	8
8oh	8
