中指シフト月光20210622

適応度:	1.4391612200999843E7
総チャンク数:	55127411

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12479854
2打鍵チャンク:	7429597
3打鍵チャンク:	745551
4打鍵チャンク:	21156

チャンク頻度
l	3825112
d	3481691
k	3085065
s	2315688
i	2244902
r	2143762
u	2098380
g	1825293
j	1783199
w	1472243
a	1450048
e	1418423
h	1353224
f	1260695
o	1196875
v	1149229
x	1069109
c	1047488
t	929335
n	894843
b	790066
m	776542
[	753668
,	688592
z	671277
q	668184
y	649893
p	596552
;	549076
lk	457943
df	348842
li	326814
.	297147
lu	280356
ij	260436
at	239076
'	227843
jk	207608
wd	183694
jl	173354
ag	173166
ar	172601
lj	161452
nk	158471
hk	151250
fw	145947
ok	143852
in	143804
dg	117765
gd	116652
fd	116210
uo	115994
adf	107786
io	107679
we	103773
adg	101916
im	100891
lh	100705
sd	99662
vs	90354
i[	88148
zs	88125
jo	84940
wr	84664
ga	74624
cv	73970
mo	66932
ad	66522
gs	62737
qd	61859
wg	60994
ca	60079
vd	58453
va	57719
iu	53994
mk	52436
cs	52419
ji	51459
ln	50292
wv	49122
xc	48537
sr	48349
oi	46605
ni	46034
ea	45389
zd	45148
hl	44559
fa	44449
hi	44248
n[	43854
ra	42662
xv	41919
ih	41565
[k	40840
xg	40448
ip	40365
;k	40290
sg	40284
wa	39946
jp	39879
yi	39010
sv	39000
gw	38884
ou	36503
mi	36500
oj	36332
ho	36100
'j	35647
rq	34710
j;	33334
,;	32492
as	32364
pk	32185
lm	32151
es	31978
vw	30911
yo	30009
l'	29737
;u	28796
fs	28580
;i	28395
sa	27237
om	26636
on	26162
wf	25020
eg	24335
rs	23433
vc	23270
[h	22604
fe	22300
rw	21492
war	21188
ui	20485
ge	20386
m.	19874
cx	19869
up	19438
fwe	19221
av	19196
'm	18711
ae	18709
re	18681
'k	18596
sc	18371
fwd	18361
er	17811
zf	17724
zw	17281
gae	17024
ef	16682
ew	16337
ljk	16137
;o	16103
wfd	16043
qg	15884
fz	15757
bx	15574
ez	15230
ba	15175
ags	15012
cz	14952
imo	14445
bz	13904
iy	13795
h[	13688
zr	13652
ta	13635
no	13373
hlk	13343
zx	13316
af	12830
ijo	12087
se	11593
p'	11572
j.	11324
o[	11279
gx	11088
adgs	10901
m'	10797
vx	10489
xf	10219
lin	10157
oh	9818
ac	9600
zg	9514
sz	9270
jok	9204
lhk	9028
fx	8937
ts	8901
gq	8835
jlk	8761
pu	8230
vcs	8100
p[	8100
j;k	8098
gas	7864
xb	7622
agd	7582
gz	7571
qr	7477
xz	7451
j[	7304
m[	7104
vsc	6953
are	6857
sgd	6639
oy	6561
;n	6431
;j	6331
