月配列2-263

適応度:	1.4293376957999876E7
総チャンク数:	55397258

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12483598
2打鍵チャンク:	7399900
3打鍵チャンク:	668168
4打鍵チャンク:	18802

チャンク頻度
k	3897842
d	3870553
l	3286841
r	2340881
i	2265591
j	2232879
s	2152013
e	2091142
u	2017943
g	1788028
f	1648502
h	1628100
c	1510762
v	1244492
w	950327
o	944805
t	898305
b	864881
a	753307
n	735148
m	701897
z	690850
x	654687
p	591118
lk	547786
y	547443
.	539610
;	494736
,	490358
q	377399
'	362244
lu	344481
li	322953
et	244800
jk	242658
[	236855
sd	217378
fd	191207
hk	188045
wf	187067
eg	183126
er	178066
ok	165350
/	154317
lj	144458
ln	116649
io	112125
gd	107510
uo	102805
l;	102667
im	99182
lh	96924
vs	91678
;k	89176
zs	86555
cv	81504
mk	81310
jo	80123
[k	78427
ji	78326
ge	77453
ko	76852
i[	76103
in	75214
vd	74376
wd	74262
fe	73609
ij	71924
ad	69115
;l	68603
fs	68456
ca	67970
cs	63640
av	62333
j;	61142
mo	60434
se	59891
l'	59823
jp	58268
iu	57143
nk	57091
i;	54074
gs	52579
pk	52370
sg	48468
hi	47925
ho	46399
hl	44060
es	43627
u;	42868
kj	42623
re	42250
ae	41536
kn	40949
oh	40236
lm	39628
dv	37995
ui	36980
yi	35803
j[	35026
.k	34884
fa	33887
;j	33490
sv	33466
'k	32516
fx	32228
zd	32183
mi	31947
h'	30605
'm	30228
oj	29217
sf	28788
rs	27764
gw	26530
yo	26093
fw	25264
ih	24463
wt	24179
o;	23830
ga	22734
vc	22300
ra	21848
iy	21786
ef	21597
sz	21434
k[	20921
up	20736
h[	20642
wfa	20491
'i	20230
ea	19642
;u	19505
on	19331
oi	19143
ds	18814
ip	18804
fwd	18395
sa	18316
as	18293
.m	18016
cz	18007
m.	17973
i'	17869
ag	17561
n;	17471
vw	17429
u[	17404
;o	17292
/k	17252
sc	17195
sr	17058
gea	16837
dg	16763
zf	16306
da	16276
ew	16195
egs	15680
dz	15384
wv	15073
af	15063
aw	15063
vx	15025
'u	14941
/i	14658
we	14553
fz	14445
imo	14246
l;m	13542
te	13540
ljk	13526
xg	13463
j'	12521
ser	12465
lhk	12133
rw	12097
hlk	11943
zr	11596
jok	11451
;i	11428
xf	11330
qer	11220
,.	11146
j.	11141
zw	11054
o[	11025
wfd	10919
wr	10777
xv	10469
lu;	10279
wg	10211
[o	10123
[i	9618
j;k	9155
ts	9083
kh	9064
qd	8808
gx	8565
m;	8461
df	8357
pu	8239
j;l	8183
;m	8086
vcs	7903
fq	7831
;n	7815
;lk	7715
oy	7656
n[	7467
va	7375
ges	7370
kp	7317
ijo	7127
wa	7106
ba	7100
era	6955
ab	6823
/j	6759
l;k	6621
eq	6570
ar	6418
ez	6382
seg	6289
u'	6288
zg	6280
ta	6236
zx	6132
zwe	6115
ui;	6008
pi	5987
rq	5984
vsc	5941
dw	5917
bx	5904
sfd	5759
,n	5710
lim	5663
ze	5559
cx	5467
gz	5414
h;	5376
l'm	5363
i;u	5328
lin	5101
u;l	5016
ojk	4908
rz	4844
lui	4837
ji[	4704
k;	4612
gq	4583
j'i	4552
;jk	4527
sgd	4519
li;	4258
fad	4254
ac	4246
jo;	4237
dq	4041
lmi	3969
n[k	3909
egw	3821
wfe	3797
lmk	3793
set	3752
oi[	3750
vsd	3703
o;k	3689
lji	3677
tw	3624
mok	3621
ou	3578
[u	3547
;,	3521
'mk	3507
bz	3492
/n	3484
'n	3447
no	3436
ers	3332
,m	3287
iuo	3258
ui[	3217
vz	3174
avs	3170
ni	3144
sae	3126
zgd	3100
h;l	3098
om	3061
zc	3046
zxf	3040
;ok	3027
.mk	2934
xc	2873
uo;	2849
;h	2841
;oj	2832
oj[	2776
o[k	2762
m,	2746
zwf	2690
aet	2667
/m	2642
ioj	2599
lih	2583
gsd	2577
qf	2560
ets	2543
jpk	2537
uoi	2532
kjo	2498
jio	2446
tz	2357
zfd	2333
lj;	2313
dvs	2304
ezr	2224
;lu	2200
',	2180
esg	2176
io;	2155
ihl	2129
fsd	2051
wvd	2049
erw	2021
[ok	2017
mp	2016
qg	2014
qe	1977
m[	1968
[h	1892
ega	1878
cvs	1856
y[	1831
eta	1826
io[	1826
;lm	1821
ln;	1814
zsd	1813
u'i	1805
liu	1795
n;k	1778
j;o	1768
iho	1727
i'm	1726
;mk	1718
hl'	1717
lnk	1670
hio	1667
joi	1639
j;i	1633
wer	1587
zvd	1575
zv	1548
[p	1537
fes	1498
asd	1472
u;o	1469
m;l	1446
fse	1431
l'u	1430
asv	1429
hi[	1418
mio	1406
uo[	1377
erq	1375
scv	1361
o;u	1354
[y	1346
sav	1340
fae	1338
jlk	1337
l'k	1318
ij;	1313
sca	1290
pj	1278
oin	1268
;uo	1264
'h	1247
tq	1232
sga	1221
ho;	1203
;ln	1187
fas	1174
l;mk	1171
o[i	1158
ij[	1156
iyo	1134
svd	1131
sea	1100
gae	1094
etq	1076
uio	1062
weg	1052
rae	1045
oiu	1042
in[	1003
fwa	1002
wfad	980
mi[	978
lij	936
sfe	924
lhi	922
;jo	922
afd	915
sad	913
;liu	907
vsca	901
;mo	884
hoi	880
m'	874
dav	874
xz	867
km	850
wet	847
gad	846
h;k	821
gzx	814
avd	812
ji;	809
[n	807
lh;	805
jo[	793
ohi	780
qr	778
in;	775
sgz	772
kj.	767
m;k	763
xb	762
m[k	759
etw	759
j[i	759
dsv	752
vsa	748
hli	747
age	741
zb	731
aer	728
p[	722
im;	720
lh'	720
iu[	713
yi[	710
.j	702
vwd	686
pm	684
l;u	679
l;i	675
i'u	658
zwd	656
gwa	635
awf	631
li;u	626
jl	626
wad	625
gse	624
hi;	619
fea	614
i[h	614
oh[	611
j;lk	610
dzf	605
ho[	601
erz	590
gaw	569
i;n	564
k'	563
ags	562
l'i	535
iu;	531
geaw	515
faw	513
'hk	500
zfs	497
zfe	495
gzs	488
awd	485
lj'	481
sag	481
/jk	476
oj;	475
wfae	473
p'	469
,;	467
aeg	466
vcx	463
esr	448
uoi[	447
k.	444
sge	441
geas	438
;ojk	435
oyi	434
ijp	431
oi;	428
fsa	428
n;o	425
csv	419
pi'	417
n.	413
asg	411
i;m	411
few	410
xcv	410
nok	409
vad	409
n'	406
eag	406
zge	395
ioh	393
j;li	392
fsz	390
h'k	389
agd	386
oij	385
yoi	384
li'	382
zwer	379
qeg	375
gas	373
gsa	368
awg	366
ages	359
scz	357
szr	356
[oj	348
.n	341
lu'	339
yo[	339
[oi	337
esz	335
l'mk	332
;oi	332
raw	328
svc	328
gsae	325
res	320
eaf	318
egq	317
.,	315
esa	315
kj'	307
gew	305
etz	301
[yi	295
joi[	290
