月配列U9

適応度:	1.4726395648999812E7
総チャンク数:	54186903

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12468379
2打鍵チャンク:	7685309
3打鍵チャンク:	585730
4打鍵チャンク:	6684

チャンク頻度
d	3811327
k	3285167
l	2593594
i	2150325
f	2058099
j	1925778
s	1885534
g	1838575
,	1740017
e	1627403
u	1619734
c	1577681
h	1577485
o	1410860
r	1396290
w	1380535
v	1354816
n	954747
t	823126
x	798479
;	781621
a	701621
b	693640
m	678695
z	567563
p	553575
y	505435
.	465037
ul	391130
ok	356393
et	353152
q	270787
il	267829
'	266325
oi	252041
jl	236754
[	217098
jk	204533
hk	201640
eq	200574
ef	199516
eg	174827
ou	174140
rw	173538
fz	168644
hl	153785
fd	141500
gd	140671
wd	129674
j.	128794
fe	127094
mk	124896
/	101584
im	101154
kj	99285
ge	98332
lj	97375
on	89947
oh	88743
cv	84261
i'	83434
jo	81306
fa	79237
ij	76640
ji	73145
in	72930
uo	70708
gs	70667
es	70044
io	69410
ml	68577
ca	67556
j;	66963
ad	66872
;k	66747
vd	66187
;l	64623
iu	64455
m,	63549
.k	61372
.,	59367
gw	58775
jp	57001
lk	56735
av	56609
zs	55232
pk	52900
vs	49729
mo	48098
wr	47338
hi	47192
wv	46717
i;	46533
re	45336
u;	42879
ga	40096
we	39749
yi	38293
;,	37683
,;	37249
om	36520
rs	36045
'k	35772
nk	35229
yo	34822
j'	34676
wa	34314
.j	31980
nl	31928
;u	31562
mi	30389
lh	30287
fzs	30059
no	29523
oy	29184
.n	29062
;i	27228
lu	27074
vc	25530
xz	25436
n;	25328
o;	25031
'l	25011
;j	24878
ih	24775
up	24270
ae	23425
h'	23171
gx	22433
sf	22268
,'	21886
wef	21800
zd	21608
ui	21549
fs	21467
iy	21317
ra	21258
sd	21186
/i	20673
ip	20591
,.	20160
ea	19716
mp	19619
kh	19375
u'	18359
xb	17729
;h	17470
gea	17251
;m	17118
zw	17035
cz	16922
ho	16360
[m	14992
ar	14888
rwa	14661
xg	14559
iul	14400
fw	14109
jok	14028
mok	13679
kl	13532
sg	13393
cs	13363
oj	13239
',	13196
p[	12855
er	12547
;n	12450
ag	12252
,n	12010
joi	11930
sv	11907
egs	11826
[k	11685
iml	11346
uoi	11208
'i	10746
gz	10655
,m	10587
rz	9938
n'	9923
m.,	9408
wg	9245
ab	9203
as	8742
zg	8687
;o	8677
i/	8663
m;	8521
te	8258
m[	8059
kjl	8020
zc	7733
xv	7697
pu	7007
efa	7003
ts	6999
fx	6963
zre	6820
aw	6568
ioh	6548
o[	6521
ac	6445
yoi	6427
pi	6377
ez	6366
zx	6356
k[	6326
lji	6250
aet	6049
vw	5974
weg	5946
zr	5929
/k	5739
/m	5641
,/	5576
h;	5572
;jl	5566
i;u	5513
m.	5307
;ok	5278
gad	5229
ew	5221
wad	5218
j[	5155
ijl	5078
ets	4992
va	4979
xc	4979
u[	4888
ji'	4804
zf	4797
ze	4748
iou	4695
j/	4680
ioy	4674
imo	4656
[o	4574
eta	4568
n[	4532
ges	4468
inl	4418
kjp	4394
ijo	4378
oi;	4361
wf	4195
xf	4173
se	4153
/,	4142
kn	4093
egw	4058
ko	4037
li	3817
h[	3695
n,	3692
[u	3679
'u	3677
j;k	3624
jil	3536
;ul	3464
;oi	3446
i[	3436
;ou	3435
wav	3424
[h	3396
oin	3391
fad	3313
bx	3257
m'	3246
;hl	3239
ou;	3210
n.	3198
ljk	3136
moi	3100
rwe	2924
sc	2915
jpk	2906
mil	2892
nok	2702
ni	2689
cx	2681
mpk	2679
;ml	2679
ta	2678
j'k	2667
/n	2665
ln	2659
.jk	2587
zrw	2536
;jo	2524
sa	2523
oyi	2502
gwe	2428
zv	2391
wet	2371
ui'	2315
;mk	2233
ezf	2209
af	2200
omk	2171
etw	2112
iyo	2099
hil	2077
iuo	2029
ihl	2024
bz	2020
feq	2015
noi	2011
u;l	1962
oim	1945
kjo	1929
tw	1921
uil	1893
o;k	1887
vz	1878
n'k	1839
sfd	1828
qd	1813
req	1810
;iu	1802
[p	1786
j;o	1772
vcx	1751
vx	1748
hoi	1714
/l	1676
k[m	1643
kj.	1640
gae	1635
j;i	1625
fze	1571
zvd	1564
hi'	1542
'p	1540
'h	1536
;hk	1533
fwa	1489
j;l	1480
vcs	1461
;jk	1427
zb	1410
tz	1407
m,.	1400
j.k	1378
ba	1375
wefa	1344
oui	1326
kp	1292
ij;	1289
fae	1288
age	1239
fzw	1238
j/i	1230
ohi	1228
hio	1217
gzw	1211
h'k	1196
[y	1153
lj;	1135
aef	1127
wra	1124
ui;	1117
;mo	1110
in'	1102
omi	1097
ij'	1089
'n	1083
zfd	1067
lj'	1059
oij	1040
wae	1039
rzw	1030
pj	1024
p[u	1019
cvs	1018
jio	1012
avs	995
n;k	990
fzd	989
no[	982
.m	974
n;l	966
oih	963
gwa	955
l'	955
vwd	953
ojk	946
lhk	946
geq	912
kj'	900
ino	885
gaw	865
/ml	860
iu'	856
