月見草配列V2

適応度:	1.2356747185999643E7
総チャンク数:	48753909

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12103429
2打鍵チャンク:	7996848
3打鍵チャンク:	1237096
4打鍵チャンク:	33827

チャンク頻度
k	2902130
s	2540356
j	2436163
e	2349347
f	2341907
i	1701169
o	1603591
l	1438437
m	1278371
n	1275424
w	1166290
d	1126702
v	1096513
a	1057871
g	1026664
c	937743
b	891000
;	876767
r	791255
u	782086
h	683084
.	648262
,	645173
z	577715
t	539843
sd	531664
x	495348
'	480001
q	477137
fd	471346
/	449986
p	423449
[	320334
mk	208735
df	200388
kj	192221
no	183941
hl	175392
ko	173479
jo	172076
lk	167714
ok	151587
jk	135765
kl	135630
we	133251
fx	132656
fe	124845
vz	124103
kn	122134
il	118204
sv	118041
ij	117005
in	111007
io	110151
wf	109366
.,	101663
vw	98641
ni	89530
k[	86083
on	85892
im	84746
asd	72752
hi	72735
ef	72711
km	72132
da	71236
wfd	69211
as	68910
ew	68812
es	68080
ji	67140
dv	66958
se	64361
ih	63339
aw	63103
ds	60078
xv	60064
sa	59798
jl	59069
eg	57762
af	57485
jkl	57480
dw	56545
nk	56051
ab	54485
fw	53631
fs	51613
;j	50779
;n	50292
afd	50247
vd	49067
;o	48569
sf	47838
k;	47796
ln	47235
sg	47065
pk	46902
;k	46193
gx	45789
fda	45750
uo	44374
kh	44041
xf	43144
iu	42927
.m	42792
zb	40477
/,	40331
mo	40017
lu	39675
tw	39361
ea	39133
i;	38853
er	37858
mi	36880
m'	36528
lj	36497
,m	36293
sr	36062
;m	35805
ae	35549
ml	35274
dz	35194
m;	34760
ui	34477
ez	34408
om	33883
zx	33852
cz	33475
re	33037
pj	32821
sz	32707
m,	31540
/k	31463
n;	30274
sc	30199
oj	30044
st	29835
'j	29252
ge	29168
afe	28518
sdf	28257
'm	28085
.k	27045
wv	26707
k.	26435
nl	26287
o[	25686
wa	24993
dg	24715
j;	24025
vsd	23814
pm	23804
h;	23231
lm	23026
[k	22974
lh	22891
oi	22806
rz	22575
gw	22520
.j	22163
;l	21895
;,	21607
sdv	21407
rw	21398
j'	21073
fdw	20132
fa	19710
sda	19421
