幸花配列

適応度:	1.2838535499999706E7
総チャンク数:	55298718

チャンクに含まれる打鍵数ごとの頻度
1打鍵チャンク:	12492449
2打鍵チャンク:	7388706
3打鍵チャンク:	1060823
4打鍵チャンク:	44587

チャンク頻度
d	5198471
l	3204727
k	3183919
i	2420613
f	2290870
m	2250080
s	2243095
j	1841600
o	1735209
a	1507429
e	1360204
x	1266459
g	1197662
v	1078880
;	1021631
n	995095
c	965375
w	875714
.	871512
b	811218
h	806786
q	805606
r	804497
u	763921
z	727247
,	649360
p	429606
lk	325729
li	292085
lj	283087
t	273844
ok	249293
l;	238602
;l	236162
'	201910
fd	201591
sf	187495
i;	181275
mk	181133
m;	180352
k;	174265
vd	170653
iu	169416
sd	161873
;k	159921
[	138875
gd	136499
qe	135042
o;	131731
lm	130923
ad	124307
jk	120413
wf	115790
wd	111889
io	108911
/	107137
ih	104965
y	101739
vx	99997
;lk	98667
ef	98210
mo	98029
j;	95735
lh	95234
jo	94409
ln	94405
zf	90041
sv	74289
im	73924
nk	71128
gw	71079
;j	70941
af	70830
.k	66152
m;l	64245
n;	62640
j;l	58471
mi	57989
ij	55776
uo	53252
ji	53162
oj	48605
;i	48143
oi	46914
nl	44548
fw	44321
fe	42295
qd	41788
ew	41198
pu	40305
om	40233
eg	40166
up	38773
no	38334
rs	38146
dw	37915
fa	36283
kh	35647
vs	34744
ae	34664
lu	33590
,/	32436
se	31509
sg	31472
l'	30799
li;	30703
qt	30620
we	29420
ui	29125
zd	28663
in	28555
qef	27615
/j	27604
hk	27446
;lj	27267
va	26816
ga	26757
m;k	26452
ge	26312
re	26016
j;k	25634
jl	25434
vw	25373
u;	25363
lj;	24817
pi	24790
df	23846
ip	23702
;o	23018
h;	22134
es	22118
m,	21629
ag	20998
pk	20156
;h	20138
lm;	20055
iuo	19909
qeg	19895
'k	19819
;u	19767
gq	19669
oh	19528
svd	19176
ze	18542
[i	18385
fs	17423
cv	17305
eq	17215
wa	17107
on	17095
dg	16933
da	16793
n;l	16751
.m	16456
'u	16367
[j	15645
dz	15492
eqt	15197
ea	14812
m'	14785
;n	14668
gz	14556
ez	14194
o;k	14191
j.	14185
j;lk	14047
kj	13853
l;k	13320
/i	13092
pj	13007
wr	12986
cs	12780
zs	12761
ra	12758
ko	12740
ni	12378
sfd	12138
zv	12126
sa	12066
m.	12018
qf	12002
fz	11584
ds	11491
ljk	11381
[u	11364
jok	11314
wfd	11054
rw	10622
sz	10389
mok	10318
as	10253
oy	10084
fad	10062
sva	10028
wv	9744
xf	9681
nlk	9594
i[	9527
;lh	9405
fq	9250
j[	9230
wg	9024
n;k	8991
kp	8914
xc	8744
lmk	8230
[k	8201
;,	8200
p'	8057
qg	7924
ca	7891
jo;	7889
/k	7712
gs	7674
tq	7569
xg	7455
n,	7453
u'	7347
o;j	7330
h;k	7307
imo	7289
mo;	7277
m[	7268
ar	7266
gad	7216
xv	7132
[o	7089
sr	6997
;jk	6970
/m	6891
zr	6862
dv	6827
ih;	6765
jp	6742
u;l	6401
ln;	6319
mp	6309
m;lk	6241
dq	6135
i;j	6121
om;	6109
km	6023
j[i	6007
aw	5992
.n	5957
ij;	5879
fwd	5791
liu	5769
oih	5704
o[	5698
av	5565
vz	5467
l;j	5444
io;	5337
lih	4982
sc	4977
er	4959
oj;	4872
lji	4870
pjk	4845
ba	4785
vc	4670
xb	4532
;nk	4461
efa	4427
lnk	4425
h[	4371
l;i	4350
at	4273
jli	4255
iu;	4219
kj;	4195
'n	4192
kn	4098
m[i	4065
yo	3967
yi	3918
,;	3854
nok	3852
zg	3813
waf	3729
ab	3639
ts	3619
oi;	3587
lmi	3512
'j	3488
;jo	3481
ho	3474
n[	3445
iy	3347
lh;	3344
egw	3228
.,	3199
;ok	3197
ac	3172
o;i	3160
l;u	3149
hi	3105
lij	3056
zre	3051
,n	2988
efw	2902
j;i	2814
jpi	2799
joi	2752
im;	2653
zvw	2649
m;o	2641
et	2617
no;	2569
mi;	2500
i'	2493
onk	2452
u[	2423
cz	2388
vwd	2380
lin	2363
esf	2322
dwf	2304
inl	2296
u;i	2290
st	2279
oin	2274
sgd	2269
l'u	2258
mpi	2257
bz	2249
k;j	2243
moi	2209
n;lk	2185
k'	2167
ta	2147
zvs	2138
iom	2096
;li	2062
tw	2048
rq	2018
uio	1990
wag	1960
te	1935
oiu	1921
/n	1918
ijo	1917
;uo	1870
lm;k	1845
sef	1819
ji;	1813
wad	1796
saf	1770
m;i	1708
n;i	1684
xz	1649
[n	1647
afd	1642
faw	1609
ino	1581
/ij	1566
sfa	1519
in;	1503
zw	1500
ipu	1500
vad	1483
lhk	1481
l;n	1446
mlk	1435
lj;k	1422
o[i	1407
efs	1391
tz	1370
;ljk	1332
ui;	1287
fas	1219
oni	1214
fwe	1208
kmo	1183
[h	1166
o[j	1145
;lu	1138
,'	1138
zwd	1136
are	1133
oji	1118
h;l	1083
asf	1077
rz	1073
ko;	1069
ou	1068
ewf	1058
oij	1057
sad	1039
svc	1036
l'k	1025
n'	1014
omk	1009
;ln	987
i;u	983
noi	967
i[j	965
asd	960
lni	947
n[i	940
egs	936
lim	936
o;jk	909
jo;k	898
knl	885
fqd	859
;ji	851
sfe	848
agd	844
dfw	837
ln;k	826
n.	826
lu;	821
oim	816
ges	816
gqe	812
[ok	812
zvd	808
l;h	803
ega	785
afe	782
jlk	781
/jk	768
ipj	765
nli	759
aef	753
lu'	751
sze	749
wt	747
lh;k	741
egq	739
age	734
efq	728
sge	728
zsv	721
zt	718
nl;	712
;m	707
h'	706
;oi	702
zb	695
svz	686
mio	662
o;n	656
fsd	653
o;h	640
szd	638
'm	632
zef	618
gzs	613
cvs	607
mo;k	605
wfa	603
i;h	602
sga	582
sez	581
rae	560
;ij	542
h;o	539
[ij	539
h;i	539
eqg	538
ml	537
ojk	537
awf	537
kjo	536
uo;	532
zfd	508
agw	505
efz	504
afw	502
k'n	496
p'j	495
j'	494
i'u	487
vas	483
svad	481
eqf	469
sfz	466
ion	463
jo[	463
m'k	462
kh;	458
awd	456
n;o	456
mip	454
in;l	434
;om	431
'i	431
;in	429
joi;	427
zeg	425
;hk	416
;lnk	408
;jok	405
oj[	404
km.	402
qfd	400
aeg	400
avd	399
dva	396
fes	395
mo[	392
oh;	392
szv	386
wae	384
zrs	377
li;j	375
zvwd	374
iom;	374
fqe	370
qte	370
dzf	368
zc	367
lih;	365
wfe	358
l;jk	357
j;o	335
egz	332
li;h	330
feq	327
vaw	323
;nl	323
m;ok	321
io;j	313
vcs	313
zwe	313
kom	308
u[i	305
vxc	305
no;k	298
dgz	298
dfs	295
io[	295
lm;i	292
iu'	291
oih;	290
xcv	289
l'n	287
jio	285
o;u	284
im[	282
h;lk	276
iml	271
on;	270
i;n	266
fae	263
wva	263
p'k	260
k;n	259
vsd	257
eaf	256
ioy	255
'p	253
sefa	252
wga	249
wfad	248
/m,	247
seg	243
daf	240
oi[	239
'h	239
few	235
dfa	234
cvz	233
fea	225
oj;k	223
/ji	218
;on	217
lui	217
',	215
gzd	214
dzg	214
jo;i	212
vwa	211
ho;	211
ijo;	210
dga	207
awe	206
ioh	202
'nk	202
[p	202
moi;	201
dzv	199
.mk	196
gsd	196
ni;	195
k[	195
nio	194
rsa	193
sae	190
wvd	188
lmi;	183
sgz	182
[in	181
o[n	179
rze	178
uio;	176
oij;	175
pij	171
iu[	170
no[	165
zet	164
.nk	160
l'i	160
gwa	160
zsd	159
kom;	156
zwg	154
'pj	153
l'j	151
tsz	150
set	150
rew	149
fwa	149
om;k	149
mpk	148
geq	148
dvs	146
imp	142
iyo	141
vxz	141
vasd	139
lij;	136
fzs	136
wef	134
;ni	131
csv	130
n'k	129
uoi	127
dfz	125
pm	124
;lji	124
esfa	124
asv	124
gew	123
[oi	123
nl;k	123
/nl	121
[om	119
jo[i	118
teq	118
noi;	117
u;o	116
p'u	116
sfad	115
pui	113
mo;i	113
awfd	112
qr	111
j;li	111
;ih	111
o[h	110
war	109
iup	108
stz	108
scv	108
km;	104
fasd	103
;im	102
asg	102
sea	102
dfq	99
twe	99
dvw	98
lj;i	98
/mk	97
ags	97
fze	96
pj[i	95
'ij	95
oui	95
dsz	94
ers	94
hio	94
afs	94
oj[i	93
dwv	89
zfw	88
mo[i	88
omi	86
ui[	86
ni;l	84
rse	84
nl'	84
jpk	83
'ui	82
tea	82
;joi	81
sar	81
pu[	81
kn;	81
l'h	80
oji;	79
,.	79
gze	79
vzs	79
[nk	77
/,	76
qge	76
oyi	76
zvx	75
wage	75
ino;	74
liu;	73
ko;j	71
hi;l	71
;nlk	69
m;li	69
k'j	68
fzd	68
iou	68
ij[	66
io[j	64
hoi	63
wge	63
ewr	63
dsv	62
zgd	62
oui;	61
no;i	61
gzw	60
fawe	59
afwd	59
szf	59
czv	58
awr	58
;omk	58
/mi	58
zst	58
weg	57
,/n	56
upi	56
;ui	55
awv	55
jip	55
oni;	54
[ih	53
erq	52
oin;	51
;lhk	51
esfz	51
li;u	50
zgw	50
avw	50
xgz	50
y[i	49
[m	48
wefa	48
vzd	48
sare	48
m;oi	46
[ji	45
'ih	45
mp'	45
mi[	44
lji;	44
ni'	44
wat	44
;mlk	44
yoi	44
/im	43
k.	43
szef	43
rsz	43
y[	43
lui;	43
mio;	42
[on	42
csva	42
;lm	42
wafd	42
ewa	42
oiu;	42
zfe	42
fez	42
m[k	41
kjo;	40
k;h	40
tze	40
om[	40
